country,country_code,year,sector_level,sector_code,sector,gas,unit,emissions_value
Belgium,BEL,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.120319
Belgium,BEL,2003,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,349.74731
Belgium,BEL,2003,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,128376.25
Belgium,BEL,2003,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.589202
Belgium,BEL,2003,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,26.0073
Belgium,BEL,2003,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.232168
Belgium,BEL,2003,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.1056
Belgium,BEL,2004,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,348.21233
Belgium,BEL,2004,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,128935.63671
Belgium,BEL,2004,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.674291
Belgium,BEL,2004,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,26.66276
Belgium,BEL,2004,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.346826
Belgium,BEL,2004,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.093517
Belgium,BEL,2005,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,338.13584
Belgium,BEL,2005,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,125720.20752
Belgium,BEL,2005,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,2.366701
Belgium,BEL,2005,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,25.95782
Belgium,BEL,2005,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.155812
Belgium,BEL,2005,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.09403
Belgium,BEL,2006,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,333.73058
Belgium,BEL,2006,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,123962.51923
Belgium,BEL,2006,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,2.470605
Belgium,BEL,2006,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,23.04484
Belgium,BEL,2006,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.104462
Belgium,BEL,2006,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.07977
Belgium,BEL,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,329.72661
Belgium,BEL,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,120545.55553
Belgium,BEL,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,2.839246
Belgium,BEL,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,21.12864
Belgium,BEL,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.110586
Belgium,BEL,2007,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.082089
Belgium,BEL,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,323.1671
Belgium,BEL,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,120258.24175
Belgium,BEL,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,2.834247
Belgium,BEL,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,21.15422
Belgium,BEL,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.000628
Belgium,BEL,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.554348
Belgium,BEL,2008,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.090408
Belgium,BEL,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,320.27538
Belgium,BEL,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,107868.05885
Belgium,BEL,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,2.735071
Belgium,BEL,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,21.34903
Belgium,BEL,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.000531
Belgium,BEL,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.446736
Belgium,BEL,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.096646
Belgium,BEL,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,319.06722
Belgium,BEL,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,114623.04117
Belgium,BEL,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,3.017911
Belgium,BEL,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,23.3756
Belgium,BEL,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.00124
Belgium,BEL,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.095595
Belgium,BEL,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.108438
Belgium,BEL,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,307.99155
Belgium,BEL,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,105188.25783
Belgium,BEL,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,3.368579
Belgium,BEL,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,19.16911
Belgium,BEL,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.002317
Belgium,BEL,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.151496
Belgium,BEL,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.112993
Belgium,BEL,2012,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,305.01606
